,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,NAM,CAN,EU,LVA,,6.92233E-08,6.91553E-08,7.26379E-08,8.5922E-08,1.00777E-07,8.23373E-08,6.05736E-08
NPS-Ref,NAM,CAN,EU,NLD,,2.65562E-08,5.32053E-08,5.91619E-08,9.70438E-08,1.34408E-07,1.32692E-07,1.34221E-07
NPS-Ref,NAM,CAN,EU,POL,,4.60291E-08,6.87722E-08,3.26817E-08,3.89024E-08,4.45677E-08,4.12673E-08,4.49199E-08
NPS-Ref,NAM,CAN,EU,PRT,,1.49004E-07,2.33683E-07,2.57608E-07,3.21022E-07,3.86611E-07,4.78465E-07,5.983E-07
NPS-Ref,NAM,CAN,EU,ROM,,1.00805E-08,1.22978E-08,1.50243E-08,1.76365E-08,2.05662E-08,2.23878E-08,2.44998E-08
NPS-Ref,NAM,CAN,EU,SVK,,2.84813E-08,3.07098E-08,2.28679E-08,2.68943E-08,3.33002E-08,3.56775E-08,3.81224E-08
NPS-Ref,NAM,CAN,EU,SVN,,5.52131E-08,7.04499E-08,4.07186E-08,3.96054E-08,4.3339E-08,4.22537E-08,4.2843E-08
NPS-Ref,NAM,CAN,EU,SWE,,9.22513E-08,2.46401E-07,2.68092E-07,3.38483E-07,4.02723E-07,4.53511E-07,5.1024E-07
NPS-Ref,NAM,CAN,ROE,CHE,,1.077E-07,1.7723E-07,6.67213E-08,7.39138E-08,8.87493E-08,8.69769E-08,8.98539E-08
NPS-Ref,NAM,CAN,ROE,SRB,,3.60956E-08,2.00757E-08,1.9431E-08,2.38278E-08,2.94586E-08,3.37379E-08,3.62537E-08
NPS-Ref,NAM,CAN,ROE,TUR,,4.67798E-09,9.0211E-09,1.02373E-08,1.25658E-08,1.66716E-08,1.99811E-08,2.47367E-08
NPS-Ref,NAM,CAN,ROE,UKR,,1.21314E-08,1.49805E-08,1.41043E-08,1.70592E-08,2.28027E-08,2.62112E-08,3.20507E-08
NPS-Ref,NAM,CAN,MEA,ARE,,4.95303E-09,8.23423E-09,9.63744E-09,1.10171E-08,1.30285E-08,1.44982E-08,1.78917E-08
NPS-Ref,NAM,CAN,MEA,BHR,,6.96399E-10,8.41096E-09,1.04877E-08,1.3652E-08,1.72129E-08,1.98708E-08,2.20047E-08
NPS-Ref,NAM,CAN,MEA,ISR,,6.97063E-10,8.44562E-09,1.06581E-08,1.38333E-08,1.71967E-08,1.97379E-08,2.18957E-08
NPS-Ref,NAM,CAN,MEA,KWT,,7.64099E-09,1.29988E-08,1.76507E-08,2.12974E-08,2.13022E-08,2.4151E-08,2.53108E-08
NPS-Ref,NAM,CAN,MEA,OMN,,9.10577E-10,3.28802E-09,6.15388E-09,7.2387E-09,8.4869E-09,9.68875E-09,1.05266E-08
NPS-Ref,NAM,CAN,AFR,EGY,,6.0278E-09,1.06038E-08,1.22081E-08,1.65825E-08,2.06688E-08,2.62527E-08,2.81535E-08
NPS-Ref,NAM,CAN,ASP,BGD,,9.11839E-09,4.44316E-08,7.2088E-08,1.08014E-07,1.50378E-07,1.91479E-07,2.18617E-07
